genome_name	ncbi_acc
PRJNA288027_0000	GCA_001766905.1
PRJNA288027_0001	GCA_001766895.1
PRJNA288027_0002	GCA_001766875.1
PRJNA288027_0003	GCA_001766955.1
PRJNA288027_0004	GCA_001766965.1
PRJNA288027_0005	GCA_001766975.1
PRJNA288027_0006	GCA_001766985.1
PRJNA288027_0007	GCA_001768595.1
PRJNA288027_0008	GCA_001767145.1
PRJNA288027_0009	GCA_001767035.1
PRJNA288027_0010	GCA_001767165.1
PRJNA288027_0011	GCA_001767435.1
PRJNA288027_0012	GCA_001767195.1
PRJNA288027_0013	GCA_001767055.1
PRJNA288027_0014	GCA_001767065.1
PRJNA288027_0015	GCA_001767075.1
PRJNA288027_0016	GCA_001767115.1
PRJNA288027_0017	GCA_001767445.1
PRJNA288027_0018	GCA_001767495.1
PRJNA288027_0019	GCA_001767135.1
PRJNA288027_0020	GCA_001767455.1
PRJNA288027_0021	GCA_001767515.1
PRJNA288027_0022	GCA_001768615.1
PRJNA288027_0023	GCA_001767525.1
PRJNA288027_0024	GCA_001767535.1
PRJNA288027_0025	GCA_001768625.1
PRJNA288027_0026	GCA_001767575.1
PRJNA288027_0027	GCA_001767595.1
PRJNA288027_0028	GCA_001768645.1
PRJNA288027_0029	GCA_001767615.1
PRJNA288027_0030	GCA_001767605.1
PRJNA288027_0031	GCA_001768675.1
PRJNA288027_0032	GCA_001767655.1
PRJNA288027_0033	GCA_001767675.1
PRJNA288027_0034	GCA_001767685.1
PRJNA288027_0035	GCA_001767695.1
PRJNA288027_0036	GCA_001768695.1
PRJNA288027_0037	GCA_001767735.1
PRJNA288027_0038	GCA_001767755.1
PRJNA288027_0039	GCA_001768715.1
PRJNA288027_0040	GCA_001767765.1
PRJNA288027_0041	GCA_001767775.1
PRJNA288027_0042	GCA_001768725.1
PRJNA288027_0043	GCA_001767795.1
PRJNA288027_0044	GCA_001767835.1
PRJNA288027_0045	GCA_001768735.1
PRJNA288027_0046	GCA_001768775.1
PRJNA288027_0047	GCA_001768795.1
PRJNA288027_0048	GCA_001768805.1
PRJNA288027_0049	GCA_001767855.1
PRJNA288027_0050	GCA_001767865.1
PRJNA288027_0051	GCA_001767885.1
PRJNA288027_0052	GCA_001767915.1
PRJNA288027_0053	GCA_001768825.1
PRJNA288027_0054	GCA_001768845.1
PRJNA288027_0055	GCA_001768875.1
PRJNA288027_0056	GCA_001767925.1
PRJNA288027_0057	GCA_001767945.1
PRJNA288027_0058	GCA_001767955.1
PRJNA288027_0059	GCA_001768885.1
PRJNA288027_0060	GCA_001767995.1
PRJNA288027_0061	GCA_001768015.1
PRJNA288027_0062	GCA_001768895.1
PRJNA288027_0063	GCA_001768925.1
PRJNA288027_0064	GCA_001768955.1
PRJNA288027_0065	GCA_001768035.1
PRJNA288027_0066	GCA_001768045.1
PRJNA288027_0067	GCA_001768075.1
PRJNA288027_0068	GCA_001768085.1
PRJNA288027_0069	GCA_001768115.1
PRJNA288027_0070	GCA_001768125.1
PRJNA288027_0071	GCA_001768155.1
PRJNA288027_0072	GCA_001768975.1
PRJNA288027_0073	GCA_001769005.1
PRJNA288027_0074	GCA_001769035.1
PRJNA288027_0075	GCA_001769045.1
PRJNA288027_0076	GCA_001768165.1
PRJNA288027_0077	GCA_001768195.1
PRJNA288027_0078	GCA_001768205.1
PRJNA288027_0079	GCA_001768235.1
PRJNA288027_0080	GCA_001768245.1
PRJNA288027_0081	GCA_001768275.1
PRJNA288027_0082	GCA_001768285.1
PRJNA288027_0083	GCA_001769075.1
PRJNA288027_0084	GCA_001768305.1
PRJNA288027_0085	GCA_001768325.1
PRJNA288027_0086	GCA_001768355.1
PRJNA288027_0087	GCA_001768365.1
PRJNA288027_0088	GCA_001768395.1
PRJNA288027_0089	GCA_001769085.1
PRJNA288027_0090	GCA_001768405.1
PRJNA288027_0091	GCA_001768435.1
PRJNA288027_0092	GCA_001768455.1
PRJNA288027_0093	GCA_001768475.1
PRJNA288027_0094	GCA_001768485.1
PRJNA288027_0095	GCA_001768515.1
PRJNA288027_0096	GCA_001768535.1
PRJNA288027_0097	GCA_001769115.1
PRJNA288027_0098	GCA_001768555.1
PRJNA288027_0099	GCA_001768565.1
PRJNA288027_0100	GCA_001769505.1
PRJNA288027_0101	GCA_001769125.1
PRJNA288027_0102	GCA_001769535.1
PRJNA288027_0103	GCA_001769145.1
PRJNA288027_0104	GCA_001769175.1
PRJNA288027_0105	GCA_001769195.1
PRJNA288027_0106	GCA_001769215.1
PRJNA288027_0107	GCA_001769545.1
PRJNA288027_0108	GCA_001769225.1
PRJNA288027_0109	GCA_001769245.1
PRJNA288027_0110	GCA_001769555.1
PRJNA288027_0111	GCA_001769275.1
PRJNA288027_0112	GCA_001769295.1
PRJNA288027_0113	GCA_001769315.1
PRJNA288027_0114	GCA_001769575.1
PRJNA288027_0115	GCA_001769325.1
PRJNA288027_0116	GCA_001769615.1
PRJNA288027_0117	GCA_001769625.1
PRJNA288027_0118	GCA_001769635.1
PRJNA288027_0119	GCA_001769845.1
PRJNA288027_0120	GCA_001769355.1
PRJNA288027_0121	GCA_001769375.1
PRJNA288027_0122	GCA_001769385.1
PRJNA288027_0123	GCA_001769655.1
PRJNA288027_0124	GCA_001769695.1
PRJNA288027_0125	GCA_001769395.1
PRJNA288027_0126	GCA_001769705.1
PRJNA288027_0127	GCA_001769725.1
PRJNA288027_0128	GCA_001769435.1
PRJNA288027_0129	GCA_001769455.1
PRJNA288027_0130	GCA_001769745.1
PRJNA288027_0131	GCA_001769775.1
PRJNA288027_0132	GCA_001769785.1
PRJNA288027_0133	GCA_001769465.1
PRJNA288027_0134	GCA_001769865.1
PRJNA288027_0135	GCA_001769805.1
PRJNA288027_0136	GCA_001769855.1
PRJNA288027_0137	GCA_001769475.1
PRJNA288027_0138	GCA_001769835.1
PRJNA288027_0139	GCA_001769915.1
PRJNA288027_0140	GCA_001769925.1
PRJNA288027_0141	GCA_001771815.1
PRJNA288027_0142	GCA_001769935.1
PRJNA288027_0143	GCA_001769975.1
PRJNA288027_0144	GCA_001769995.1
PRJNA288027_0145	GCA_001771825.1
PRJNA288027_0146	GCA_001771845.1
PRJNA288027_0147	GCA_001770005.1
PRJNA288027_0148	GCA_001770085.1
PRJNA288027_0149	GCA_001770015.1
PRJNA288027_0150	GCA_001770035.1
PRJNA288027_0151	GCA_001770075.1
PRJNA288027_0152	GCA_001771865.1
PRJNA288027_0153	GCA_001770205.1
PRJNA288027_0154	GCA_001770105.1
PRJNA288027_0155	GCA_001770125.1
PRJNA288027_0156	GCA_001770155.1
PRJNA288027_0157	GCA_001770165.1
PRJNA288027_0158	GCA_001770175.1
PRJNA288027_0159	GCA_001771895.1
PRJNA288027_0160	GCA_001770235.1
PRJNA288027_0161	GCA_001770245.1
PRJNA288027_0162	GCA_001770255.1
PRJNA288027_0163	GCA_001770285.1
PRJNA288027_0164	GCA_001771905.1
PRJNA288027_0165	GCA_001770315.1
PRJNA288027_0166	GCA_001770325.1
PRJNA288027_0167	GCA_001770345.1
PRJNA288027_0168	GCA_001770355.1
PRJNA288027_0169	GCA_001770395.1
PRJNA288027_0170	GCA_001770415.1
PRJNA288027_0171	GCA_001771915.1
PRJNA288027_0172	GCA_001770425.1
PRJNA288027_0173	GCA_001770435.1
PRJNA288027_0174	GCA_001770475.1
PRJNA288027_0175	GCA_001770495.1
PRJNA288027_0176	GCA_001771935.1
PRJNA288027_0177	GCA_001771975.1
PRJNA288027_0178	GCA_001770505.1
PRJNA288027_0179	GCA_001771985.1
PRJNA288027_0180	GCA_001770525.1
PRJNA288027_0181	GCA_001772005.1
PRJNA288027_0182	GCA_001770545.1
PRJNA288027_0183	GCA_001770575.1
PRJNA288027_0184	GCA_001772025.1
PRJNA288027_0185	GCA_001770585.1
PRJNA288027_0186	GCA_001770615.1
PRJNA288027_0187	GCA_001770625.1
PRJNA288027_0188	GCA_001772055.1
PRJNA288027_0189	GCA_001770655.1
PRJNA288027_0190	GCA_001770675.1
PRJNA288027_0191	GCA_001770695.1
PRJNA288027_0192	GCA_001770705.1
PRJNA288027_0193	GCA_001770725.1
PRJNA288027_0194	GCA_001770745.1
PRJNA288027_0195	GCA_001772075.1
PRJNA288027_0196	GCA_001772095.1
PRJNA288027_0197	GCA_001772105.1
PRJNA288027_0198	GCA_001770785.1
PRJNA288027_0199	GCA_001770775.1
PRJNA288027_0200	GCA_001770805.1
PRJNA288027_0201	GCA_001772135.1
PRJNA288027_0202	GCA_001770815.1
PRJNA288027_0203	GCA_001770855.1
PRJNA288027_0204	GCA_001770865.1
PRJNA288027_0205	GCA_001770905.1
PRJNA288027_0206	GCA_001770895.1
PRJNA288027_0207	GCA_001770935.1
PRJNA288027_0208	GCA_001772145.1
PRJNA288027_0209	GCA_001772175.1
PRJNA288027_0210	GCA_001770955.1
PRJNA288027_0211	GCA_001770965.1
PRJNA288027_0212	GCA_001770985.1
PRJNA288027_0213	GCA_001770995.1
PRJNA288027_0214	GCA_001771035.1
PRJNA288027_0215	GCA_001771065.1
PRJNA288027_0216	GCA_001772185.1
PRJNA288027_0217	GCA_001771055.1
PRJNA288027_0218	GCA_001773455.1
PRJNA288027_0219	GCA_001773485.1
PRJNA288027_0220	GCA_001775435.1
PRJNA288027_0221	GCA_001773505.1
PRJNA288027_0222	GCA_001775445.1
PRJNA288027_0223	GCA_001775475.1
PRJNA288027_0224	GCA_001775485.1
PRJNA288027_0225	GCA_001773535.1
PRJNA288027_0226	GCA_001773545.1
PRJNA288027_0227	GCA_001775515.1
PRJNA288027_0228	GCA_001773575.1
PRJNA288027_0229	GCA_001775525.1
PRJNA288027_0230	GCA_001773585.1
PRJNA288027_0231	GCA_001775555.1
PRJNA288027_0232	GCA_001775565.1
PRJNA288027_0233	GCA_001773615.1
PRJNA288027_0234	GCA_001775605.1
PRJNA288027_0235	GCA_001773625.1
PRJNA288027_0236	GCA_001775595.1
PRJNA288027_0237	GCA_001775635.1
PRJNA288027_0238	GCA_001773645.1
PRJNA288027_0239	GCA_001773655.1
PRJNA288027_0240	GCA_001773695.1
PRJNA288027_0241	GCA_001773715.1
PRJNA288027_0242	GCA_001773725.1
PRJNA288027_0243	GCA_001773735.1
PRJNA288027_0244	GCA_001773775.1
PRJNA288027_0245	GCA_001775645.1
PRJNA288027_0246	GCA_001773795.1
PRJNA288027_0247	GCA_001775675.1
PRJNA288027_0248	GCA_001773815.1
PRJNA288027_0249	GCA_001775685.1
PRJNA288027_0250	GCA_001775695.1
PRJNA288027_0251	GCA_001773825.1
PRJNA288027_0252	GCA_001773855.1
PRJNA288027_0253	GCA_001773875.1
PRJNA288027_0254	GCA_001773895.1
PRJNA288027_0255	GCA_001775715.1
PRJNA288027_0256	GCA_001773915.1
PRJNA288027_0257	GCA_001773925.1
PRJNA288027_0258	GCA_001775755.1
PRJNA288027_0259	GCA_001817035.1
PRJNA288027_0260	GCA_001817055.1
PRJNA288027_0261	GCA_001817065.1
PRJNA288027_0262	GCA_001817095.1
PRJNA288027_0263	GCA_001817115.1
PRJNA288027_0264	GCA_001817135.1
PRJNA288027_0265	GCA_001817145.1
PRJNA288027_0266	GCA_001817175.1
PRJNA288027_0267	GCA_001775775.1
PRJNA288027_0268	GCA_001773955.1
PRJNA288027_0269	GCA_001773975.1
PRJNA288027_0270	GCA_001773995.1
PRJNA288027_0271	GCA_001775785.1
PRJNA288027_0272	GCA_001774005.1
PRJNA288027_0273	GCA_001774035.1
PRJNA288027_0274	GCA_001775795.1
PRJNA288027_0275	GCA_001774055.1
PRJNA288027_0276	GCA_001775835.1
PRJNA288027_0277	GCA_001775855.1
PRJNA288027_0278	GCA_001774075.1
PRJNA288027_0279	GCA_001774085.1
PRJNA288027_0280	GCA_001774105.1
PRJNA288027_0281	GCA_001775875.1
PRJNA288027_0282	GCA_001774135.1
PRJNA288027_0283	GCA_001774155.1
PRJNA288027_0284	GCA_001775885.1
PRJNA288027_0285	GCA_001775915.1
PRJNA288027_0286	GCA_001774165.1
PRJNA288027_0287	GCA_001774195.1
PRJNA288027_0288	GCA_001774215.1
PRJNA288027_0289	GCA_001775935.1
PRJNA288027_0290	GCA_001775955.1
PRJNA288027_0291	GCA_001774235.1
PRJNA288027_0292	GCA_001774245.1
PRJNA288027_0293	GCA_001775965.1
PRJNA288027_0294	GCA_001775995.1
PRJNA288027_0295	GCA_001776015.1
PRJNA288027_0296	GCA_001776035.1
PRJNA288027_0297	GCA_001776045.1
PRJNA288027_0298	GCA_001774275.1
PRJNA288027_0299	GCA_001776075.1
PRJNA288027_0300	GCA_001776095.1
PRJNA288027_0301	GCA_001774295.1
PRJNA288027_0302	GCA_001774315.1
PRJNA288027_0303	GCA_001776115.1
PRJNA288027_0304	GCA_001774335.1
PRJNA288027_0305	GCA_001774345.1
PRJNA288027_0306	GCA_001774375.1
PRJNA288027_0307	GCA_001776125.1
PRJNA288027_0308	GCA_001776145.1
PRJNA288027_0309	GCA_001776175.1
PRJNA288027_0310	GCA_001774395.1
PRJNA288027_0311	GCA_001776195.1
PRJNA288027_0312	GCA_001816375.1
PRJNA288027_0313	GCA_001816385.1
PRJNA288027_0314	GCA_001816875.1
PRJNA288027_0315	GCA_001816405.1
PRJNA288027_0316	GCA_001816425.1
PRJNA288027_0317	GCA_001816895.1
PRJNA288027_0318	GCA_001816455.1
PRJNA288027_0319	GCA_001816475.1
PRJNA288027_0320	GCA_001816485.1
PRJNA288027_0321	GCA_001816495.1
PRJNA288027_0322	GCA_001816535.1
PRJNA288027_0323	GCA_001816555.1
PRJNA288027_0324	GCA_001817195.1
PRJNA288027_0325	GCA_001817215.1
PRJNA288027_0326	GCA_001817235.1
PRJNA288027_0327	GCA_001817255.1
PRJNA288027_0328	GCA_001817265.1
PRJNA288027_0329	GCA_001817295.1
PRJNA288027_0330	GCA_001817305.1
PRJNA288027_0331	GCA_001817335.1
PRJNA288027_0332	GCA_001817345.1
PRJNA288027_0333	GCA_001817375.1
PRJNA288027_0334	GCA_001817385.1
PRJNA288027_0335	GCA_001817415.1
PRJNA288027_0336	GCA_001817425.1
PRJNA288027_0337	GCA_001817455.1
PRJNA288027_0338	GCA_001817465.1
PRJNA288027_0339	GCA_001817495.1
PRJNA288027_0340	GCA_001817505.1
PRJNA288027_0341	GCA_001817535.1
PRJNA288027_0342	GCA_001817545.1
PRJNA288027_0343	GCA_001817575.1
PRJNA288027_0344	GCA_001817585.1
PRJNA288027_0345	GCA_001817615.1
PRJNA288027_0346	GCA_001774415.1
PRJNA288027_0347	GCA_001776215.1
PRJNA288027_0348	GCA_001774425.1
PRJNA288027_0349	GCA_001774455.1
PRJNA288027_0350	GCA_001774475.1
PRJNA288027_0351	GCA_001774495.1
PRJNA288027_0352	GCA_001816575.1
PRJNA288027_0353	GCA_001816905.1
PRJNA288027_0354	GCA_001816585.1
PRJNA288027_0355	GCA_001816605.1
PRJNA288027_0356	GCA_001816915.1
PRJNA288027_0357	GCA_001816955.1
PRJNA288027_0358	GCA_001774505.1
PRJNA288027_0359	GCA_001774535.1
PRJNA288027_0360	GCA_001776225.1
PRJNA288027_0361	GCA_001774555.1
PRJNA288027_0362	GCA_001774575.1
PRJNA288027_0363	GCA_001774585.1
PRJNA288027_0364	GCA_001776255.1
PRJNA288027_0365	GCA_001774615.1
PRJNA288027_0366	GCA_001774635.1
PRJNA288027_0367	GCA_001774675.1
PRJNA288027_0368	GCA_001776275.1
PRJNA288027_0369	GCA_001776285.1
PRJNA288027_0370	GCA_001774685.1
PRJNA288027_0371	GCA_001817635.1
PRJNA288027_0372	GCA_001817655.1
PRJNA288027_0373	GCA_001817675.1
PRJNA288027_0374	GCA_001817685.1
PRJNA288027_0375	GCA_001817715.1
PRJNA288027_0376	GCA_001817735.1
PRJNA288027_0377	GCA_001817755.1
PRJNA288027_0378	GCA_001817765.1
PRJNA288027_0379	GCA_001817795.1
PRJNA288027_0380	GCA_001817805.1
PRJNA288027_0381	GCA_001817835.1
PRJNA288027_0382	GCA_001817845.1
PRJNA288027_0383	GCA_001776315.1
PRJNA288027_0384	GCA_001774705.1
PRJNA288027_0385	GCA_001774735.1
