genome_name	ncbi_acc
REP_0000	GCF_000010525.1
REP_0001	GCF_000007365.1
REP_0002	GCF_000007725.1
REP_5721	GCF_000009605.1
REP_0003	GCF_000090965.1
REP_0004	GCF_000217635.1
REP_0005	GCF_000225445.1
REP_0006	GCF_000225465.1
REP_0007	GCF_000521565.1
REP_0008	GCF_001280225.1
REP_0009	GCF_001648115.1
REP_0010	GCF_001700895.1
REP_0011	GCF_900016785.1
REP_0012	GCF_900128595.1
REP_0013	GCF_900128725.1
REP_0014	GCF_900128735.1
REP_0015	GCF_000218545.1
REP_0016	GCF_000020965.1
REP_0017	GCF_000378225.1
REP_0018	GCF_000012885.1
REP_0019	GCF_001375595.1
REP_0020	GCF_000518705.1
REP_0022	GCF_000012685.1
REP_0021	GCF_000219105.1
REP_0023	GCF_000165485.1
REP_0024	GCF_000335475.2
REP_0025	GCF_001027285.1
REP_0026	GCF_000601485.1
REP_0027	GCF_001189295.1
REP_0028	GCF_000067165.1
REP_0029	GCF_000382305.1
REP_0030	GCF_002222655.1
REP_0031	GCF_001442515.1
REP_0032	GCF_000163775.2
REP_0033	GCF_000685215.1
REP_0034	GCF_000427405.1
REP_0035	GCF_000222485.1
REP_0036	GCF_000218895.1
REP_0037	GCF_000171775.1
REP_0038	GCF_000165715.2
REP_0039	GCF_000092105.1
REP_0040	GCF_000181475.1
REP_0041	GCF_000153105.1
REP_0042	GCF_000025185.1
REP_0043	GCF_000186345.1
REP_0044	GCF_000283235.1
REP_5722	GCF_000008685.2
REP_0045	GCF_001660005.1
REP_0046	GCF_000012085.2
REP_0047	GCF_001936255.1
REP_0048	GCF_000568755.1
REP_0049	GCF_000184345.1
REP_5723	GCF_000008185.1
REP_0050	GCF_001676785.2
REP_0051	GCF_000604125.1
REP_0052	GCF_000513775.1
REP_0053	GCF_000421345.1
REP_0054	GCF_000255555.1
REP_0055	GCF_000195275.1
REP_0056	GCF_000017685.1
REP_5724	GCF_000092565.1
REP_0057	GCF_000013945.1
REP_0058	GCF_000284315.1
REP_0059	GCF_000243335.1
REP_0060	GCF_000381985.1
REP_0061	GCF_000420525.1
REP_0062	GCF_001315015.1
REP_0063	GCF_900177475.1
REP_0064	GCF_002024185.1
REP_0065	GCF_000495505.1
REP_5725	GCF_000009085.1
REP_0067	GCF_002179165.1
REP_0068	GCF_001643955.1
REP_0069	GCF_001643975.1
REP_0070	GCF_001298465.1
REP_0071	GCF_000017465.2
REP_0072	GCF_000019205.1
REP_0073	GCF_000313615.1
REP_0074	GCF_002220735.1
REP_5726	GCF_000008525.1
REP_0075	GCF_000349975.1
REP_0076	GCF_000200595.1
REP_0077	GCF_000509365.1
REP_0078	GCF_000765805.1
REP_0079	GCF_000091985.1
REP_0080	GCF_900176575.1
REP_0081	GCF_000757385.1
REP_0082	GCF_000382425.1
REP_0083	GCF_000425585.1
REP_0084	GCF_000355905.1
REP_0085	GCF_001295265.1
REP_0086	GCF_002025665.1
REP_0087	GCF_000243275.1
REP_0088	GCF_000143765.1
REP_0089	GCF_000686625.1
REP_5727	GCF_000008985.1
REP_0090	GCF_000203895.1
REP_0091	GCF_001399775.1
REP_5728	GCF_000091545.1
REP_0092	GCF_000771745.2
REP_0093	GCF_000024425.1
REP_0094	GCF_000017645.1
REP_0095	GCF_000739375.1
REP_5729	GCF_000006765.1
REP_0096	GCF_000014225.1
REP_0097	GCF_001411495.1
REP_0098	GCF_000237065.1
REP_0099	GCF_000016565.1
REP_5730	GCF_000007565.2
REP_0100	GCF_000800615.1
REP_0101	GCF_000009125.1
REP_0102	GCF_000219605.1
REP_0103	GCF_000590475.1
REP_5731	GCF_000012245.1
REP_0104	GCF_000020205.1
REP_5732	GCF_000007145.1
REP_0105	GCF_001021935.1
REP_0106	GCF_002218245.1
REP_0107	GCF_000019585.2
REP_0108	GCF_000817975.1
REP_0109	GCF_000380335.1
REP_0110	GCF_000696095.1
REP_0111	GCF_000745735.1
REP_0112	GCF_000016285.1
REP_0113	GCF_000284375.1
REP_5733	GCF_000018545.1
REP_0114	GCF_000283895.1
REP_5734	GCF_000006965.1
REP_0115	GCF_000021345.1
REP_0116	GCF_000517605.1
REP_0117	GCF_000745655.1
REP_0118	GCF_000330885.1
REP_0119	GCF_000731315.1
REP_0120	GCF_000617925.1
REP_0121	GCF_000008325.1
REP_0122	GCF_000427625.1
REP_0123	GCF_000214665.1
REP_0124	GCF_000178815.2
REP_0125	GCF_002005445.1
REP_0126	GCF_000164395.1
REP_0127	GCF_000617865.1
REP_0129	GCF_000011685.1
REP_0130	GCF_000311765.1
REP_5735	GCF_000008485.1
REP_0131	GCF_000953655.1
REP_0132	GCF_000091785.1
REP_0133	GCF_000953635.1
REP_0134	GCF_001468165.1
REP_0135	GCF_001467625.1
REP_0136	GCF_001467785.1
REP_0137	GCF_001467765.1
REP_0138	GCF_001468125.1
REP_0139	GCF_000236165.1
REP_0140	GCF_900167045.1
REP_0141	GCF_000746645.1
REP_0142	GCF_001679005.1
REP_0143	GCF_000092265.1
REP_5736	GCF_000006845.1
REP_0144	GCF_000196295.1
REP_5737	GCF_000008805.1
REP_0145	GCF_000186165.1
REP_0146	GCF_002073715.2
REP_0147	GCF_002108495.1
REP_0148	GCF_001592185.1
REP_0149	GCF_000818035.1
REP_0150	GCF_000021685.1
REP_0151	GCF_000190695.1
REP_0152	GCF_000470375.1
REP_0153	GCF_000160435.1
REP_0154	GCF_000967305.2
REP_5738	GCF_000318015.1
REP_5739	GCF_000317935.1
REP_5740	GCF_000195715.1
REP_0155	GCF_000070465.1
REP_0156	GCF_000701585.1
REP_0157	GCF_000687875.1
REP_0158	GCF_000017405.1
REP_0159	GCF_000153225.1
REP_0160	GCF_000019845.1
REP_0161	GCF_000007705.1
REP_0162	GCF_000158615.1
REP_0163	GCF_000175255.2
REP_0164	GCF_000218875.1
REP_0165	GCF_000648515.1
REP_5741	GCF_000215745.1
REP_0166	GCF_001709315.1
REP_5742	GCF_000025565.1
REP_0167	GCF_000091565.1
REP_0168	GCF_000025405.2
REP_0169	GCF_000023605.1
REP_5743	GCF_000005845.2
REP_5744	GCF_000008865.2
REP_5745	GCF_000026325.1
REP_5746	GCF_000026345.1
REP_5747	GCF_000183345.1
REP_5748	GCF_000299455.1
REP_0170	GCF_000262305.1
REP_0171	GCF_000248015.1
REP_0172	GCF_000759795.1
REP_0173	GCF_001022195.1
REP_5749	GCF_000240185.1
REP_0174	GCF_001571285.1
REP_0175	GCF_000286435.2
REP_0176	GCF_000069965.1
REP_0177	GCF_000259175.1
REP_0178	GCF_000422085.1
REP_0179	GCF_000513215.1
REP_5750	GCF_000012005.1
REP_5751	GCF_000006925.2
REP_0180	GCF_000953355.1
REP_5752	GCF_000009345.1
REP_5753	GCF_000009065.1
REP_5754	GCF_000014805.1
REP_0181	GCF_000196395.1
REP_0182	GCF_000819865.1
REP_0183	GCF_001447335.1
REP_0184	GCF_000354175.2
REP_0185	GCF_001267945.1
REP_5755	GCF_000006745.1
REP_5756	GCF_000011805.1
REP_5757	GCF_000196095.1
REP_0186	GCF_000467125.1
REP_0187	GCF_002215135.1
REP_0188	GCF_001558255.2
REP_0189	GCF_001558415.2
REP_0190	GCF_000017705.1
REP_0191	GCF_000740015.1
REP_0192	GCF_002196515.1
REP_0193	GCF_001591125.1
REP_0194	GCF_900087055.1
REP_0195	GCF_001594265.1
REP_0196	GCF_000739435.1
REP_5758	GCF_000027305.1
REP_0197	GCF_000442905.1
REP_0198	GCF_000007945.1
REP_0199	GCF_000019405.1
REP_0200	GCF_002015075.1
REP_0201	GCF_002015115.1
REP_0202	GCF_000021885.1
REP_0203	GCF_000754275.1
REP_0204	GCF_000209675.1
REP_0205	GCF_000262245.1
REP_0206	GCF_000379905.1
REP_0207	GCF_000024505.1
REP_0208	GCF_000020305.1
REP_0209	GCF_000015445.1
REP_0210	GCF_000709795.1
REP_5759	GCF_000007765.2
REP_0211	GCF_000026005.1
REP_0212	GCF_000007025.1
REP_5760	GCF_000195735.1
REP_0213	GCF_000063545.1
REP_0214	GCF_000008045.1
REP_0215	GCF_000018205.1
REP_0216	GCF_000284155.1
REP_0217	GCF_000014345.1
REP_0218	GCF_000046685.1
REP_5761	GCF_000008725.1
REP_5762	GCF_000068585.1
REP_5763	GCF_000009925.1
REP_5764	GCF_000011065.1
REP_0219	GCF_000154205.1
REP_0220	GCF_000012825.1
REP_0221	GCF_000012845.1
REP_0222	GCF_001190745.1
REP_0223	GCF_000024405.1
REP_0224	GCF_001190755.1
REP_0225	GCF_900129945.1
REP_0226	GCF_000146505.1
REP_0227	GCF_000010505.1
REP_0228	GCF_000025925.1
REP_0229	GCF_000378085.1
REP_0230	GCF_000196135.1
REP_0231	GCF_000158475.2
REP_0232	GCF_002127965.1
REP_0233	GCF_000158195.2
REP_5765	GCF_000007325.1
REP_0234	GCF_000158275.2
REP_0235	GCF_000622245.1
REP_0236	GCF_000162015.1
REP_0237	GCF_000381725.1
REP_0238	GCF_000262225.1
REP_0239	GCF_000158215.3
REP_0240	GCF_000158315.2
REP_0241	GCF_000014725.1
REP_0242	GCF_900115655.1
REP_0243	GCF_000015345.1
REP_0244	GCF_000212675.2
REP_0245	GCF_000022125.1
REP_0246	GCF_000189295.2
REP_0247	GCF_000420465.1
REP_0248	GCF_000179555.1
REP_0249	GCF_000468495.1
REP_0250	GCF_000023445.1
REP_0251	GCF_000021385.1
REP_5766	GCF_000195755.1
REP_0252	GCF_000420485.1
REP_0253	GCF_000167355.1
REP_0254	GCF_001854245.1
REP_0255	GCF_000023225.1
REP_0256	GCF_900116045.1
REP_0257	GCF_000025305.1
REP_0258	GCF_001304715.1
REP_0259	GCF_000013885.1
REP_0260	GCF_000012725.1
REP_0261	GCF_000009145.1
REP_0262	GCF_000014765.1
REP_0263	GCF_900110145.1
REP_0264	GCF_000021485.1
REP_0265	GCF_000092925.1
REP_0266	GCF_002028405.1
REP_0267	GCF_000024765.1
REP_0268	GCF_000423825.1
REP_0269	GCF_000227215.1
REP_0270	GCF_000373385.1
REP_0271	GCF_000711195.1
REP_0272	GCF_000010785.1
REP_0273	GCF_000012565.1
REP_0274	GCF_000013145.1
REP_0275	GCF_000013125.1
REP_0276	GCF_000022525.1
REP_0277	GCF_000013165.1
REP_0278	GCF_001653955.1
REP_0279	GCF_001752665.1
REP_0280	GCF_000196175.1
REP_0281	GCF_000525675.1
REP_0282	GCF_001592735.1
REP_0283	GCF_001592745.1
REP_0284	GCF_001040945.1
REP_0285	GCF_001995095.2
REP_0286	GCF_000284095.1
REP_0287	GCF_000702545.1
REP_0288	GCF_900100835.1
REP_0289	GCF_000190595.1
REP_0290	GCF_000517085.1
REP_0291	GCF_000023825.1
REP_0292	GCF_000014145.1
REP_0293	GCF_000016645.1
REP_0294	GCF_000430645.1
REP_0295	GCF_900129005.1
REP_0296	GCF_000259075.1
REP_0297	GCF_000737695.1
REP_0298	GCF_000242635.2
REP_0299	GCF_000240075.2
REP_0300	GCF_000430505.1
REP_0301	GCF_900112255.1
REP_0302	GCF_000265505.1
REP_0303	GCF_000422585.1
REP_0304	GCF_900113045.1
REP_0305	GCF_900119105.1
REP_0306	GCF_000183425.1
REP_0307	GCF_000250635.1
REP_0308	GCF_900102835.1
REP_0309	GCF_000189415.1
REP_0310	GCF_000301075.1
REP_0311	GCF_000174755.1
REP_0312	GCF_000023285.1
REP_0313	GCF_000245015.1
REP_0314	GCF_000169175.1
REP_0315	GCF_000336555.1
REP_0316	GCF_000314735.2
REP_0317	GCF_000715015.1
REP_0318	GCF_000025485.1
REP_0319	GCF_000015585.1
REP_0320	GCF_000021865.1
REP_5767	GCF_000012905.2
REP_0321	GCF_000016405.1
REP_0322	GCF_000166055.1
REP_0323	GCF_900187365.1
REP_0324	GCF_000013365.1
REP_0325	GCF_000013745.1
REP_0326	GCF_000014825.1
REP_0327	GCF_000195775.1
REP_0328	GCF_000504425.1
REP_0329	GCF_000935205.1
REP_0330	GCF_001402875.1
REP_0331	GCF_900102695.1
REP_0332	GCF_000294655.1
REP_0333	GCF_000284415.1
REP_5768	GCF_000013085.1
REP_0334	GCF_000515255.1
REP_0335	GCF_000020465.1
REP_0336	GCF_000016085.1
REP_0337	GCF_000015125.1
REP_0338	GCF_000020545.1
REP_5769	GCF_000006985.1
REP_0339	GCF_000012485.1
REP_0340	GCF_000020625.1
REP_5770	GCF_000018865.1
REP_0341	GCF_001663175.1
REP_0342	GCF_000317285.1
REP_0343	GCF_000010625.1
REP_0344	GCF_000710505.1
REP_0345	GCF_000196515.1
REP_0346	GCF_000317695.1
REP_0347	GCF_000521175.1
REP_0348	GCF_002142495.1
REP_0349	GCF_000014265.1
REP_5771	GCF_000007925.1
REP_0350	GCF_000011465.1
REP_0351	GCF_000011485.1
REP_0352	GCF_000012465.1
REP_0353	GCF_000012645.1
REP_0354	GCF_000015645.1
REP_0355	GCF_000015665.1
REP_0356	GCF_000018585.1
REP_0357	GCF_000759855.1
REP_0358	GCF_000332315.1
REP_0359	GCF_000012805.1
REP_0360	GCF_000196355.1
REP_0361	GCF_900103165.1
REP_0362	GCF_900109785.1
REP_0363	GCF_000300295.4
REP_0364	GCF_000196855.1
REP_0365	GCF_000014445.1
REP_0366	GCF_001698145.1
REP_0367	GCF_000014385.1
REP_0368	GCF_000160575.1
REP_0369	GCF_000165675.1
REP_0370	GCF_000300135.1
REP_0371	GCF_001767275.1
REP_0372	GCF_000014505.1
REP_0373	GCF_900176115.1
REP_0374	GCF_000010185.1
REP_0375	GCF_000381525.1
REP_0376	GCF_000179635.2
REP_0377	GCF_000174895.1
REP_0378	GCF_000518765.1
REP_0379	GCF_000701945.1
REP_0380	GCF_900119535.1
REP_0381	GCF_001404895.1
REP_0382	GCF_000023205.1
REP_0383	GCF_001570885.1
REP_0384	GCF_000725405.1
REP_0385	GCF_000023925.1
REP_5772	GCF_000013425.1
REP_5773	GCF_000007645.1
REP_0386	GCF_000009865.1
REP_0387	GCF_000816085.1
REP_0388	GCF_001559115.2
REP_0389	GCF_000706685.1
REP_0390	GCF_000183685.1
REP_0391	GCF_000332735.1
REP_0392	GCF_000875895.1
REP_0393	GCF_002209165.2
REP_5774	GCF_000008565.1
REP_0394	GCF_000017005.1
REP_0395	GCF_000785515.1
REP_5775	GCF_000014205.1
REP_5776	GCF_000026745.1
REP_0396	GCF_000253395.1
REP_5777	GCF_000007465.2
REP_0397	GCF_000686605.1
REP_5778	GCF_000007265.1
REP_5779	GCF_000007045.1
REP_5780	GCF_000006785.2
REP_0398	GCF_000164675.2
REP_0399	GCF_000156675.1
REP_0400	GCF_000420345.1
REP_0401	GCF_000463505.1
REP_0402	GCF_000187975.2
REP_0403	GCF_000317855.1
REP_0404	GCF_000964315.1
REP_0405	GCF_000026605.1
REP_0406	GCF_000463355.1
REP_0407	GCF_000187995.2
REP_0408	GCF_000286075.1
REP_0409	GCF_000372425.1
REP_0410	GCF_000831485.1
REP_0411	GCF_000213825.1
REP_0412	GCF_000009545.1
REP_5781	GCF_000007785.1
REP_0413	GCF_000415185.1
REP_5782	GCF_000174395.2
REP_0414	GCF_000271405.2
REP_0415	GCF_000406925.1
REP_0416	GCF_000407605.1
REP_5783	GCF_000006865.1
REP_0417	GCF_000269925.1
REP_0418	GCF_000981525.1
REP_0419	GCF_001465835.2
REP_0420	GCF_001543175.1
REP_0421	GCF_001543285.1
REP_0422	GCF_000173915.1
REP_0423	GCF_001437015.1
REP_0424	GCF_000024225.1
REP_0425	GCF_000174015.1
REP_0426	GCF_000196735.1
REP_5784	GCF_000007845.1
REP_5785	GCF_000008165.1
REP_0427	GCF_000010165.1
REP_5786	GCF_000007825.1
REP_0428	GCF_001591585.1
REP_0429	GCF_000832905.1
REP_0430	GCF_000011645.1
REP_0431	GCF_000480335.1
REP_0432	GCF_000832985.1
REP_0433	GCF_000832605.1
REP_0434	GCF_000164985.3
REP_0435	GCF_000305495.1
REP_0436	GCF_001578205.1
REP_0437	GCF_000513135.1
REP_0438	GCF_000177235.2
REP_0439	GCF_000615945.1
REP_0440	GCF_001753205.1
REP_5787	GCF_000009045.1
REP_0441	GCF_001295365.1
REP_5788	GCF_000008505.1
REP_0442	GCF_000497525.1
REP_0443	GCF_000292245.2
REP_0444	GCF_000307165.1
REP_0445	GCF_000444055.1
REP_0446	GCF_002173495.1
REP_0447	GCF_000307855.1
REP_0448	GCF_001630115.1
REP_0449	GCF_001591625.1
REP_0450	GCF_002003265.1
REP_0451	GCF_000219535.2
REP_0452	GCF_001591545.1
REP_0453	GCF_000724485.1
REP_0454	GCF_001514495.1
REP_0455	GCF_001189575.1
REP_0456	GCF_001590685.1
REP_0457	GCF_001578185.1
REP_0458	GCF_001050115.1
REP_0459	GCF_001878675.1
REP_0460	GCF_001653195.1
REP_5789	GCF_000008765.1
REP_0461	GCF_000452245.2
REP_5790	GCF_000017045.1
REP_0462	GCF_000020165.1
REP_5791	GCF_000063585.1
REP_0463	GCF_000204565.1
REP_0464	GCF_001456065.2
REP_0465	GCF_000145275.1
REP_0466	GCF_900103025.1
REP_0467	GCF_001047375.1
REP_5792	GCF_000009205.2
REP_0468	GCF_001854185.1
REP_0469	GCF_000526495.1
REP_0470	GCF_000389635.1
REP_0471	GCF_000807255.1
REP_0472	GCF_001705235.1
REP_0473	GCF_000013285.1
REP_0474	GCF_001190785.1
REP_0475	GCF_001950115.1
REP_0476	GCF_000331995.1
REP_0477	GCF_000196455.1
REP_0478	GCF_000189595.1
REP_0479	GCF_000007625.1
REP_0480	GCF_000015865.1
REP_0481	GCF_000145615.1
REP_0482	GCF_001642655.1
REP_0483	GCF_000833105.2
REP_0484	GCF_000022065.1
REP_0485	GCF_000371425.1
REP_5793	GCF_000013105.1
REP_0486	GCF_000711825.1
REP_0487	GCF_900115365.1
REP_0488	GCF_000424205.1
REP_0489	GCF_900129365.1
REP_0490	GCF_000016505.1
REP_0491	GCF_000154345.1
REP_0492	GCF_900103615.1
REP_0493	GCF_000687955.1
REP_0494	GCF_000014125.1
REP_0495	GCF_000154485.1
REP_0496	GCF_000383295.1
REP_0497	GCF_000647895.1
REP_0498	GCF_000299355.1
REP_0499	GCF_000699585.1
REP_0500	GCF_000789395.1
REP_0501	GCF_000235605.1
REP_0502	GCF_000215085.1
REP_0503	GCF_000214435.1
REP_0504	GCF_000284515.1
