genome_name	ncbi_acc
CANOPY_0000	GCA_000431015.1
CANOPY_0001	GCA_000431035.1
CANOPY_0002	GCA_000431055.1
CANOPY_0003	GCA_000431075.1
CANOPY_0004	GCA_000431095.1
CANOPY_0005	GCA_000431115.1
CANOPY_0006	GCA_000431135.1
CANOPY_0007	GCA_000431155.1
CANOPY_0008	GCA_000431175.1
CANOPY_0009	GCA_000431195.1
CANOPY_0010	GCA_000431215.1
CANOPY_0011	GCA_000431235.1
CANOPY_0012	GCA_000431255.1
CANOPY_0013	GCA_000431275.1
CANOPY_0014	GCA_000431295.1
CANOPY_0015	GCA_000431315.1
CANOPY_0016	GCA_000431335.1
CANOPY_0017	GCA_000431355.1
CANOPY_0018	GCA_000431375.1
CANOPY_0019	GCA_000431395.1
CANOPY_0020	GCA_000431415.1
CANOPY_0021	GCA_000431435.1
CANOPY_0022	GCA_000431455.1
CANOPY_0023	GCA_000431475.1
CANOPY_0024	GCA_000431495.1
CANOPY_0025	GCA_000431515.1
CANOPY_0026	GCA_000431535.1
CANOPY_0027	GCA_000431555.1
CANOPY_0028	GCA_000431575.1
CANOPY_0029	GCA_000431595.1
CANOPY_0030	GCA_000431615.1
CANOPY_0031	GCA_000431635.1
CANOPY_0032	GCA_000431655.1
CANOPY_0033	GCA_000431675.1
CANOPY_0034	GCA_000431695.1
CANOPY_0035	GCA_000431715.1
CANOPY_0036	GCA_000431735.1
CANOPY_0037	GCA_000431755.1
CANOPY_0038	GCA_000431775.1
CANOPY_0039	GCA_000431795.1
CANOPY_0040	GCA_000431815.1
CANOPY_0041	GCA_000431835.1
CANOPY_0042	GCA_000431855.1
CANOPY_0043	GCA_000431875.1
CANOPY_0044	GCA_000431895.1
CANOPY_0045	GCA_000431915.1
CANOPY_0046	GCA_000431935.1
CANOPY_0047	GCA_000431955.1
CANOPY_0048	GCA_000431975.1
CANOPY_0049	GCA_000431995.1
CANOPY_0050	GCA_000432015.1
CANOPY_0051	GCA_000432035.1
CANOPY_0052	GCA_000432055.1
CANOPY_0053	GCA_000432075.1
CANOPY_0054	GCA_000432095.1
CANOPY_0055	GCA_000432115.1
CANOPY_0056	GCA_000432135.1
CANOPY_0057	GCA_000432155.1
CANOPY_0058	GCA_000432175.1
CANOPY_0059	GCA_000432195.1
CANOPY_0060	GCA_000432215.1
CANOPY_0061	GCA_000432235.1
CANOPY_0062	GCA_000432255.1
CANOPY_0063	GCA_000432275.1
CANOPY_0064	GCA_000432295.1
CANOPY_0065	GCA_000432315.1
CANOPY_0066	GCA_000432335.1
CANOPY_0067	GCA_000432355.1
CANOPY_0068	GCA_000432375.1
CANOPY_0069	GCA_000432395.1
CANOPY_0070	GCA_000432415.1
CANOPY_0071	GCA_000432435.1
CANOPY_0072	GCA_000432455.1
CANOPY_0073	GCA_000432475.1
CANOPY_0074	GCA_000432495.1
CANOPY_0075	GCA_000432515.1
CANOPY_0076	GCA_000432535.1
CANOPY_0077	GCA_000432555.1
CANOPY_0078	GCA_000432575.1
CANOPY_0079	GCA_000432595.1
CANOPY_0080	GCA_000432615.1
CANOPY_0081	GCA_000432635.1
CANOPY_0082	GCA_000432655.1
CANOPY_0083	GCA_000432675.1
CANOPY_0084	GCA_000432695.1
CANOPY_0085	GCA_000432715.1
CANOPY_0086	GCA_000432735.1
CANOPY_0087	GCA_000432755.1
CANOPY_0088	GCA_000432775.1
CANOPY_0089	GCA_000432795.1
CANOPY_0090	GCA_000432815.1
CANOPY_0091	GCA_000432835.1
CANOPY_0092	GCA_000432855.1
CANOPY_0093	GCA_000432875.1
CANOPY_0094	GCA_000432895.1
CANOPY_0095	GCA_000432915.1
CANOPY_0096	GCA_000432935.1
CANOPY_0097	GCA_000432955.1
CANOPY_0098	GCA_000432975.1
CANOPY_0099	GCA_000432995.1
CANOPY_0100	GCA_000433015.1
CANOPY_0101	GCA_000433035.1
CANOPY_0102	GCA_000433055.1
CANOPY_0103	GCA_000433075.1
CANOPY_0104	GCA_000433095.1
CANOPY_0105	GCA_000433115.1
CANOPY_0106	GCA_000433135.1
CANOPY_0107	GCA_000433155.1
CANOPY_0108	GCA_000433175.1
CANOPY_0109	GCA_000433195.1
CANOPY_0110	GCA_000433215.1
CANOPY_0111	GCA_000433235.1
CANOPY_0112	GCA_000433255.1
CANOPY_0113	GCA_000433275.1
CANOPY_0114	GCA_000433295.1
CANOPY_0115	GCA_000433315.1
CANOPY_0116	GCA_000433335.1
CANOPY_0117	GCA_000433355.1
CANOPY_0118	GCA_000433375.1
CANOPY_0119	GCA_000433395.1
CANOPY_0120	GCA_000433415.1
CANOPY_0121	GCA_000433435.1
CANOPY_0122	GCA_000433455.1
CANOPY_0123	GCA_000433475.1
CANOPY_0124	GCA_000433495.1
CANOPY_0125	GCA_000433515.1
CANOPY_0126	GCA_000433535.1
CANOPY_0127	GCA_000433555.1
CANOPY_0128	GCA_000433575.1
CANOPY_0129	GCA_000433595.1
CANOPY_0130	GCA_000433615.1
CANOPY_0131	GCA_000433635.1
CANOPY_0132	GCA_000433655.1
CANOPY_0133	GCA_000433675.1
CANOPY_0134	GCA_000433695.1
CANOPY_0135	GCA_000433715.1
CANOPY_0136	GCA_000433735.1
CANOPY_0137	GCA_000433755.1
CANOPY_0138	GCA_000433775.1
CANOPY_0139	GCA_000433795.1
CANOPY_0140	GCA_000433815.1
CANOPY_0141	GCA_000433835.1
CANOPY_0142	GCA_000433855.1
CANOPY_0143	GCA_000433875.1
CANOPY_0144	GCA_000433895.1
CANOPY_0145	GCA_000433915.1
CANOPY_0146	GCA_000433935.1
CANOPY_0147	GCA_000433955.1
CANOPY_0148	GCA_000433975.1
CANOPY_0149	GCA_000433995.1
CANOPY_0150	GCA_000434015.1
CANOPY_0151	GCA_000434035.1
CANOPY_0152	GCA_000434055.1
CANOPY_0153	GCA_000434075.1
CANOPY_0154	GCA_000434095.1
CANOPY_0155	GCA_000434115.1
CANOPY_0156	GCA_000434135.1
CANOPY_0157	GCA_000434155.1
CANOPY_0158	GCA_000434175.1
CANOPY_0159	GCA_000434195.1
CANOPY_0160	GCA_000434215.1
CANOPY_0161	GCA_000434235.1
CANOPY_0162	GCA_000434255.1
CANOPY_0163	GCA_000434275.1
CANOPY_0164	GCA_000434295.1
CANOPY_0165	GCA_000434315.1
CANOPY_0166	GCA_000434335.1
CANOPY_0167	GCA_000434355.1
CANOPY_0168	GCA_000434375.1
CANOPY_0169	GCA_000434395.1
CANOPY_0170	GCA_000434415.1
CANOPY_0171	GCA_000434435.1
CANOPY_0172	GCA_000434455.1
CANOPY_0173	GCA_000434475.1
CANOPY_0174	GCA_000434495.1
CANOPY_0175	GCA_000434515.1
CANOPY_0176	GCA_000434535.1
CANOPY_0177	GCA_000434555.1
CANOPY_0178	GCA_000434575.1
CANOPY_0179	GCA_000434595.1
CANOPY_0180	GCA_000434615.1
CANOPY_0181	GCA_000434635.1
CANOPY_0182	GCA_000434655.1
CANOPY_0183	GCA_000434675.1
CANOPY_0184	GCA_000434695.1
CANOPY_0185	GCA_000434715.1
CANOPY_0186	GCA_000434735.1
CANOPY_0187	GCA_000434755.1
CANOPY_0188	GCA_000434775.1
CANOPY_0189	GCA_000434795.1
CANOPY_0190	GCA_000434815.1
CANOPY_0191	GCA_000434835.1
CANOPY_0192	GCA_000434855.1
CANOPY_0193	GCA_000434875.1
CANOPY_0194	GCA_000434895.1
CANOPY_0195	GCA_000434915.1
CANOPY_0196	GCA_000434935.1
CANOPY_0197	GCA_000434955.1
CANOPY_0198	GCA_000434975.1
CANOPY_0199	GCA_000434995.1
CANOPY_0200	GCA_000435015.1
CANOPY_0201	GCA_000435035.1
CANOPY_0202	GCA_000435055.1
