genome_name	ncbi_acc
GTDB_00000	GCF_000003925.1
GTDB_00001	GCF_000005825.2
GTDB_00002	GCF_000005845.2
GTDB_00003	GCF_000006175.1
GTDB_00004	GCF_000006605.1
GTDB_00005	GCF_000006625.1
GTDB_00006	GCF_000006685.1
GTDB_00007	GCF_000006725.1
GTDB_00008	GCF_000006745.1
GTDB_00009	GCF_000006765.1
GTDB_00010	GCF_000006785.2
GTDB_00011	GCF_000006805.1
GTDB_00012	GCF_000006825.1
GTDB_00013	GCF_000006845.1
GTDB_00014	GCF_000006865.1
GTDB_00015	GCF_000006905.1
GTDB_00016	GCF_000006925.2
GTDB_00017	GCF_000006945.2
GTDB_00018	GCF_000006965.1
GTDB_00019	GCF_000006985.1
GTDB_00020	GCF_000007025.1
GTDB_00021	GCF_000007045.1
GTDB_00022	GCF_000007085.1
GTDB_00023	GCF_000007125.1
GTDB_00024	GCF_000007145.1
GTDB_00025	GCF_000007205.1
GTDB_00026	GCF_000007245.1
GTDB_00027	GCF_000007265.1
GTDB_00028	GCF_000007305.1
GTDB_00029	GCF_000007325.1
GTDB_00030	GCF_000007345.1
GTDB_00031	GCF_000007365.1
GTDB_00032	GCF_000007465.2
GTDB_00033	GCF_000007485.1
GTDB_00034	GCF_000007525.1
GTDB_00035	GCF_000007565.2
GTDB_00036	GCF_000007605.1
GTDB_00037	GCF_000007625.1
GTDB_00038	GCF_000007645.1
GTDB_00039	GCF_000007665.1
GTDB_00040	GCF_000007705.1
GTDB_00041	GCF_000007725.1
GTDB_00042	GCF_000007745.1
GTDB_00043	GCF_000007765.2
GTDB_00044	GCF_000007785.1
GTDB_00045	GCF_000007805.1
GTDB_00046	GCF_000007825.1
GTDB_00047	GCF_000007845.1
GTDB_00048	GCF_000007905.1
GTDB_00049	GCF_000007925.1
GTDB_00050	GCF_000007945.1
GTDB_00051	GCF_000007985.2
GTDB_00052	GCF_000008025.1
GTDB_00053	GCF_000008045.1
GTDB_00054	GCF_000008065.1
GTDB_00055	GCF_000008125.1
GTDB_00056	GCF_000008165.1
GTDB_00057	GCF_000008185.1
GTDB_00058	GCF_000008205.1
GTDB_00059	GCF_000008245.1
GTDB_00060	GCF_000008265.1
GTDB_00061	GCF_000008305.1
GTDB_00062	GCF_000008325.1
GTDB_00063	GCF_000008345.1
GTDB_00064	GCF_000008365.1
GTDB_00065	GCF_000008385.1
GTDB_00066	GCF_000008405.1
GTDB_00067	GCF_000008425.1
GTDB_00068	GCF_000008465.1
GTDB_00069	GCF_000008485.1
GTDB_00070	GCF_000008505.1
GTDB_00071	GCF_000008525.1
GTDB_00072	GCF_000008545.1
GTDB_00073	GCF_000008565.1
GTDB_00074	GCF_000008625.1
GTDB_00075	GCF_000008645.1
GTDB_00076	GCF_000008665.1
GTDB_00077	GCF_000008685.2
GTDB_00078	GCF_000008725.1
GTDB_00079	GCF_000008745.1
GTDB_00080	GCF_000008765.1
GTDB_00081	GCF_000008805.1
GTDB_00082	GCF_000008885.1
GTDB_00083	GCF_000008925.1
GTDB_00084	GCF_000008985.1
GTDB_00085	GCF_000009025.1
GTDB_00086	GCF_000009045.1
GTDB_00087	GCF_000009065.1
GTDB_00088	GCF_000009085.1
GTDB_00089	GCF_000009125.1
