genome_name	ncbi_acc
PRJEB21624_0000	GCA_900314805.1
PRJEB21624_0001	GCA_900318095.1
PRJEB21624_0002	GCA_900315825.1
PRJEB21624_0003	GCA_900317485.1
PRJEB21624_0004	GCA_900320625.1
PRJEB21624_0005	GCA_900321175.1
PRJEB21624_0006	GCA_900318655.1
PRJEB21624_0007	GCA_900315205.1
PRJEB21624_0008	GCA_900314165.1
PRJEB21624_0009	GCA_900321205.1
PRJEB21624_0010	GCA_900322025.1
PRJEB21624_0011	GCA_900321935.1
PRJEB21624_0012	GCA_900321975.1
PRJEB21624_0013	GCA_900321875.1
PRJEB21624_0014	GCA_900321845.1
PRJEB21624_0015	GCA_900321715.1
PRJEB21624_0016	GCA_900321655.1
PRJEB21624_0017	GCA_900321675.1
PRJEB21624_0018	GCA_900321695.1
PRJEB21624_0019	GCA_900321775.1
PRJEB21624_0020	GCA_900321605.1
PRJEB21624_0021	GCA_900321545.1
PRJEB21624_0022	GCA_900321465.1
PRJEB21624_0023	GCA_900321245.1
PRJEB21624_0024	GCA_900321315.1
PRJEB21624_0025	GCA_900321165.1
PRJEB21624_0026	GCA_900321075.1
PRJEB21624_0027	GCA_900320975.1
PRJEB21624_0028	GCA_900320965.1
PRJEB21624_0029	GCA_900321005.1
PRJEB21624_0030	GCA_900320875.1
PRJEB21624_0031	GCA_900320865.1
PRJEB21624_0032	GCA_900320725.1
PRJEB21624_0033	GCA_900320915.1
PRJEB21624_0034	GCA_900320785.1
PRJEB21624_0035	GCA_900320795.1
PRJEB21624_0036	GCA_900320665.1
PRJEB21624_0037	GCA_900320545.1
PRJEB21624_0038	GCA_900320495.1
PRJEB21624_0039	GCA_900320525.1
PRJEB21624_0040	GCA_900320305.1
PRJEB21624_0041	GCA_900320385.1
PRJEB21624_0042	GCA_900320365.1
PRJEB21624_0043	GCA_900320185.1
PRJEB21624_0044	GCA_900320265.1
PRJEB21624_0045	GCA_900320115.1
PRJEB21624_0046	GCA_900319995.1
PRJEB21624_0047	GCA_900319975.1
PRJEB21624_0048	GCA_900319865.1
PRJEB21624_0049	GCA_900319925.1
PRJEB21624_0050	GCA_900319855.1
PRJEB21624_0051	GCA_900319815.1
PRJEB21624_0052	GCA_900319685.1
PRJEB21624_0053	GCA_900319645.1
PRJEB21624_0054	GCA_900319595.1
PRJEB21624_0055	GCA_900319375.1
PRJEB21624_0056	GCA_900319405.1
PRJEB21624_0057	GCA_900319415.1
PRJEB21624_0058	GCA_900319215.1
PRJEB21624_0059	GCA_900319485.1
PRJEB21624_0060	GCA_900319185.1
PRJEB21624_0061	GCA_900319175.1
PRJEB21624_0062	GCA_900319105.1
PRJEB21624_0063	GCA_900319005.1
PRJEB21624_0064	GCA_900319035.1
PRJEB21624_0065	GCA_900318845.1
PRJEB21624_0066	GCA_900319025.1
PRJEB21624_0067	GCA_900318955.1
PRJEB21624_0068	GCA_900318835.1
PRJEB21624_0069	GCA_900318725.1
PRJEB21624_0070	GCA_900318665.1
PRJEB21624_0071	GCA_900318525.1
PRJEB21624_0072	GCA_900318575.1
PRJEB21624_0073	GCA_900318445.1
PRJEB21624_0074	GCA_900318565.1
PRJEB21624_0075	GCA_900318355.1
PRJEB21624_0076	GCA_900318315.1
PRJEB21624_0077	GCA_900318265.1
PRJEB21624_0078	GCA_900318285.1
PRJEB21624_0079	GCA_900318275.1
PRJEB21624_0080	GCA_900318245.1
PRJEB21624_0081	GCA_900318175.1
PRJEB21624_0082	GCA_900318165.1
PRJEB21624_0083	GCA_900318085.1
PRJEB21624_0084	GCA_900318015.1
PRJEB21624_0085	GCA_900317955.1
