genome_name	ncbi_acc
PRJNA362212_0000	GCA_002254785.1
PRJNA362212_0001	GCA_003650445.1
PRJNA362212_0002	GCA_003650485.1
PRJNA362212_0003	GCA_003650455.1
PRJNA362212_0004	GCA_003648915.1
PRJNA362212_0005	GCA_003648905.1
PRJNA362212_0006	GCA_003648875.1
PRJNA362212_0007	GCA_002085065.1
PRJNA362212_0008	GCA_002084345.1
PRJNA362212_0009	GCA_002084625.1
PRJNA362212_0010	GCA_002084715.1
PRJNA362212_0011	GCA_002084745.1
PRJNA362212_0012	GCA_002084875.1
PRJNA362212_0013	GCA_003648735.1
PRJNA362212_0014	GCA_003648695.1
PRJNA362212_0015	GCA_003648675.1
PRJNA362212_0016	GCA_003663025.1
PRJNA362212_0017	GCA_003662985.1
PRJNA362212_0018	GCA_003662995.1
PRJNA362212_0019	GCA_003662965.1
PRJNA362212_0020	GCA_003662925.1
PRJNA362212_0021	GCA_003663055.1
PRJNA362212_0022	GCA_002254865.1
PRJNA362212_0023	GCA_003648635.1
PRJNA362212_0024	GCA_003648585.1
PRJNA362212_0025	GCA_003648565.1
PRJNA362212_0026	GCA_003648625.1
PRJNA362212_0027	GCA_003648575.1
PRJNA362212_0028	GCA_003648515.1
PRJNA362212_0029	GCA_003648535.1
PRJNA362212_0030	GCA_003648435.1
PRJNA362212_0031	GCA_003648505.1
PRJNA362212_0032	GCA_003648485.1
PRJNA362212_0033	GCA_003648455.1
PRJNA362212_0034	GCA_003648415.1
PRJNA362212_0035	GCA_003648385.1
PRJNA362212_0036	GCA_003648395.1
PRJNA362212_0037	GCA_003648355.1
PRJNA362212_0038	GCA_003648345.1
PRJNA362212_0039	GCA_003648305.1
PRJNA362212_0040	GCA_003648295.1
PRJNA362212_0041	GCA_003648285.1
PRJNA362212_0042	GCA_003650305.1
PRJNA362212_0043	GCA_003650395.1
PRJNA362212_0044	GCA_003650425.1
PRJNA362212_0045	GCA_003650385.1
PRJNA362212_0046	GCA_003650365.1
PRJNA362212_0047	GCA_003650315.1
PRJNA362212_0048	GCA_003650335.1
PRJNA362212_0049	GCA_003648655.1
PRJNA362212_0050	GCA_002085165.1
PRJNA362212_0051	GCA_002085215.1
PRJNA362212_0052	GCA_002254285.1
PRJNA362212_0053	GCA_002254335.1
PRJNA362212_0054	GCA_002084525.1
PRJNA362212_0055	GCA_002084355.1
PRJNA362212_0056	GCA_002254295.1
PRJNA362212_0057	GCA_002085445.1
PRJNA362212_0058	GCA_003650285.1
PRJNA362212_0059	GCA_003650255.1
PRJNA362212_0060	GCA_003648235.1
PRJNA362212_0061	GCA_003648245.1
PRJNA362212_0062	GCA_002049955.1
PRJNA362212_0063	GCA_002085225.1
PRJNA362212_0064	GCA_003650505.1
PRJNA362212_0065	GCA_003648975.1
PRJNA362212_0066	GCA_003648965.1
PRJNA362212_0067	GCA_003650495.1
PRJNA362212_0068	GCA_003648925.1
PRJNA362212_0069	GCA_003650565.1
PRJNA362212_0070	GCA_003663465.1
PRJNA362212_0071	GCA_003663475.1
PRJNA362212_0072	GCA_003663445.1
PRJNA362212_0073	GCA_003663405.1
PRJNA362212_0074	GCA_003663415.1
PRJNA362212_0075	GCA_003663385.1
PRJNA362212_0076	GCA_003663355.1
PRJNA362212_0077	GCA_003663345.1
PRJNA362212_0078	GCA_003663325.1
PRJNA362212_0079	GCA_003663295.1
PRJNA362212_0080	GCA_003663285.1
PRJNA362212_0081	GCA_003663265.1
PRJNA362212_0082	GCA_003663235.1
PRJNA362212_0083	GCA_003663225.1
PRJNA362212_0084	GCA_002255055.1
PRJNA362212_0085	GCA_002254545.1
PRJNA362212_0086	GCA_002254415.1
PRJNA362212_0087	GCA_002254685.1
PRJNA362212_0088	GCA_003648865.1
PRJNA362212_0089	GCA_003648845.1
PRJNA362212_0090	GCA_003648815.1
PRJNA362212_0091	GCA_003648795.1
PRJNA362212_0092	GCA_003663205.1
PRJNA362212_0093	GCA_003663165.1
PRJNA362212_0094	GCA_003663175.1
PRJNA362212_0095	GCA_003663125.1
PRJNA362212_0096	GCA_003663105.1
PRJNA362212_0097	GCA_003663115.1
PRJNA362212_0098	GCA_003663075.1
PRJNA362212_0099	GCA_003663045.1
PRJNA362212_0100	GCA_002254565.1
PRJNA362212_0101	GCA_002254945.1
PRJNA362212_0102	GCA_002254405.1
PRJNA362212_0103	GCA_003648765.1
PRJNA362212_0104	GCA_003648725.1
PRJNA362212_0105	GCA_003648785.1
PRJNA362212_0106	GCA_002084995.1
PRJNA362212_0107	GCA_002084865.1
PRJNA362212_0108	GCA_003662745.1
PRJNA362212_0109	GCA_003662715.1
PRJNA362212_0110	GCA_003662705.1
PRJNA362212_0111	GCA_003662685.1
PRJNA362212_0112	GCA_003662655.1
PRJNA362212_0113	GCA_003662645.1
PRJNA362212_0114	GCA_003662625.1
PRJNA362212_0115	GCA_003662595.1
PRJNA362212_0116	GCA_003662585.1
PRJNA362212_0117	GCA_003662565.1
PRJNA362212_0118	GCA_003662535.1
PRJNA362212_0119	GCA_003662515.1
PRJNA362212_0120	GCA_003662505.1
PRJNA362212_0121	GCA_003662485.1
PRJNA362212_0122	GCA_003662445.1
PRJNA362212_0123	GCA_003662455.1
PRJNA362212_0124	GCA_003662425.1
PRJNA362212_0125	GCA_003662395.1
PRJNA362212_0126	GCA_003662385.1
PRJNA362212_0127	GCA_003662365.1
PRJNA362212_0128	GCA_003662345.1
PRJNA362212_0129	GCA_003662325.1
PRJNA362212_0130	GCA_003662305.1
PRJNA362212_0131	GCA_003662275.1
PRJNA362212_0132	GCA_003662265.1
PRJNA362212_0133	GCA_003662245.1
PRJNA362212_0134	GCA_003662215.1
PRJNA362212_0135	GCA_003662205.1
PRJNA362212_0136	GCA_003662185.1
PRJNA362212_0137	GCA_003662155.1
PRJNA362212_0138	GCA_003662145.1
PRJNA362212_0139	GCA_003662125.1
PRJNA362212_0140	GCA_003662085.1
PRJNA362212_0141	GCA_003662095.1
PRJNA362212_0142	GCA_003662065.1
PRJNA362212_0143	GCA_003662035.1
PRJNA362212_0144	GCA_003662025.1
PRJNA362212_0145	GCA_003662005.1
PRJNA362212_0146	GCA_003661975.1
PRJNA362212_0147	GCA_003661965.1
PRJNA362212_0148	GCA_003661945.1
PRJNA362212_0149	GCA_002255025.1
PRJNA362212_0150	GCA_002255045.1
PRJNA362212_0151	GCA_002254975.1
PRJNA362212_0152	GCA_002254965.1
PRJNA362212_0153	GCA_002254475.1
PRJNA362212_0154	GCA_002049945.1
PRJNA362212_0155	GCA_002049835.1
PRJNA362212_0156	GCA_002084915.1
PRJNA362212_0157	GCA_002085205.1
PRJNA362212_0158	GCA_003647865.1
PRJNA362212_0159	GCA_003647825.1
PRJNA362212_0160	GCA_003647805.1
PRJNA362212_0161	GCA_003647815.1
PRJNA362212_0162	GCA_003647765.1
PRJNA362212_0163	GCA_002084765.1
PRJNA362212_0164	GCA_002084835.1
PRJNA362212_0165	GCA_003647745.1
PRJNA362212_0166	GCA_003647715.1
PRJNA362212_0167	GCA_003647695.1
PRJNA362212_0168	GCA_003647755.1
PRJNA362212_0169	GCA_002085425.1
PRJNA362212_0170	GCA_003661685.1
PRJNA362212_0171	GCA_003661665.1
PRJNA362212_0172	GCA_003647675.1
PRJNA362212_0173	GCA_003646025.1
PRJNA362212_0174	GCA_003644925.1
PRJNA362212_0175	GCA_003661525.1
PRJNA362212_0176	GCA_003661505.1
PRJNA362212_0177	GCA_003661485.1
PRJNA362212_0178	GCA_002412205.1
PRJNA362212_0179	GCA_003662935.1
PRJNA362212_0180	GCA_003662875.1
PRJNA362212_0181	GCA_003662885.1
PRJNA362212_0182	GCA_003645985.1
PRJNA362212_0183	GCA_003645975.1
PRJNA362212_0184	GCA_003644885.1
PRJNA362212_0185	GCA_003644895.1
PRJNA362212_0186	GCA_003661425.1
PRJNA362212_0187	GCA_003661405.1
PRJNA362212_0188	GCA_003661385.1
PRJNA362212_0189	GCA_003661365.1
PRJNA362212_0190	GCA_003661345.1
PRJNA362212_0191	GCA_003661315.1
PRJNA362212_0192	GCA_003661305.1
PRJNA362212_0193	GCA_003661285.1
PRJNA362212_0194	GCA_003661265.1
PRJNA362212_0195	GCA_003661245.1
PRJNA362212_0196	GCA_003661225.1
PRJNA362212_0197	GCA_003661445.1
PRJNA362212_0198	GCA_003645885.1
PRJNA362212_0199	GCA_003645905.1
PRJNA362212_0200	GCA_003644735.1
PRJNA362212_0201	GCA_003644715.1
PRJNA362212_0202	GCA_003644695.1
PRJNA362212_0203	GCA_003644685.1
PRJNA362212_0204	GCA_003644665.1
PRJNA362212_0205	GCA_003644635.1
PRJNA362212_0206	GCA_002059205.1
PRJNA362212_0207	GCA_002049985.1
PRJNA362212_0208	GCA_002085285.1
PRJNA362212_0209	GCA_003662865.1
PRJNA362212_0210	GCA_003645835.1
PRJNA362212_0211	GCA_003645845.1
PRJNA362212_0212	GCA_003645825.1
PRJNA362212_0213	GCA_003644595.1
PRJNA362212_0214	GCA_003644565.1
PRJNA362212_0215	GCA_003644575.1
PRJNA362212_0216	GCA_003644625.1
PRJNA362212_0217	GCA_003660965.1
PRJNA362212_0218	GCA_003660975.1
PRJNA362212_0219	GCA_003660905.1
PRJNA362212_0220	GCA_003660865.1
PRJNA362212_0221	GCA_003647625.1
PRJNA362212_0222	GCA_003647665.1
PRJNA362212_0223	GCA_003645805.1
PRJNA362212_0224	GCA_003645785.1
PRJNA362212_0225	GCA_003645745.1
PRJNA362212_0226	GCA_003644385.1
